Country,Measure,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_arrivals_sum
Afghanistan,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albania,Total arrivals,Thousands,317.00,354.00,470.00,557.00,645.00,748.00,937.00,1127.00,1420.00,1856.00,2417.00,2932.00,3514.00,3256.00,3673.00,4131.00,4736.00,5118.00,5927.00,6406.00,2658.00,53199.00
Algeria,Total arrivals,Thousands,866.00,901.00,988.00,1166.00,1234.00,1443.00,1638.00,1743.00,1772.00,1912.00,2070.00,2395.00,2634.00,2733.00,2301.00,1710.00,2039.00,2451.00,2657.00,2371.00,591.00,37615.00
Andorra,Total arrivals,Thousands,10991.00,11351.00,11507.00,11601.00,11668.00,11049.00,10737.00,10743.00,10194.00,9112.00,8551.00,7983.00,7900.00,7676.00,7797.00,7850.00,8025.00,8152.00,8328.00,8235.00,5207.00,194657.00
Angola,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua And Barbuda,Total arrivals,Thousands,634.00,624.00,528.00,623.00,769.00,712.00,838.00,935.00,863.00,944.00,788.00,848.00,819.00,777.00,771.00,894.00,874.00,1040.00,1064.00,1035.00,276.00,16656.00
Argentina,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9986.00,9964.00,10394.00,11131.00,3096.00,44571.00
Armenia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,Total arrivals,Thousands,4931.00,4856.00,4841.00,4746.00,5215.00,5499.00,5532.00,5644.00,5586.00,5490.00,5790.00,5771.00,6032.00,6482.00,6922.00,7449.00,8269.00,8815.00,9246.00,9466.00,1828.00,128410.00
Austria,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
